PSGC,PROVINCE,MUNICIPALITY,BARANGAY,CALIBRATION_STATUS,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,MEAN_POSTERIOR_CASES,MAX_POSTERIOR_CASES,AUTOMATIC_ALERT_MONTHS,MAX_HOTSPOT_Z_SCORE
1206316030,South Cotabato,T'Boli,Mongocayo,CALIBRATED_SOUTH_COTABATO,0.299267,0.436000,1.128680,1.432000,0,0.180851
1206319008,South Cotabato,Lake Sebu,Lamdalag,CALIBRATED_SOUTH_COTABATO,0.327933,0.428000,1.224000,1.480000,0,-0.608509
1206316001,South Cotabato,T'Boli,Basag,CALIBRATED_SOUTH_COTABATO,0.340667,0.420000,1.277627,1.508000,0,1.830141
1206316016,South Cotabato,T'Boli,Maan,CALIBRATED_SOUTH_COTABATO,0.326547,0.420000,1.222493,1.500000,0,0.073065
1206319016,South Cotabato,Lake Sebu,Talisay,CALIBRATED_SOUTH_COTABATO,0.332667,0.416000,1.245293,1.468000,0,1.258659
1206316008,South Cotabato,T'Boli,Lamsalome,CALIBRATED_SOUTH_COTABATO,0.324640,0.412000,1.220587,1.500000,0,-0.123581
1206319018,South Cotabato,Lake Sebu,Upper Maculan,CALIBRATED_SOUTH_COTABATO,0.308987,0.412000,1.165440,1.496000,0,-0.196811
1206319009,South Cotabato,Lake Sebu,Lamfugon,CALIBRATED_SOUTH_COTABATO,0.318613,0.412000,1.196893,1.448000,0,1.573739
1206302008,South Cotabato,Banga,Improgo Village,CALIBRATED_SOUTH_COTABATO,0.312133,0.400000,1.168267,1.472000,0,0.666601
1206316026,South Cotabato,T'Boli,Desawo,CALIBRATED_SOUTH_COTABATO,0.306080,0.400000,1.153747,1.440000,0,0.694462
1206316011,South Cotabato,T'Boli,New Dumangas,CALIBRATED_SOUTH_COTABATO,0.302293,0.400000,1.139960,1.428000,0,0.244053
1206316025,South Cotabato,T'Boli,Datal Bob,CALIBRATED_SOUTH_COTABATO,0.307760,0.400000,1.156667,1.428000,0,-0.127779
1206319015,South Cotabato,Lake Sebu,Siluton,CALIBRATED_SOUTH_COTABATO,0.318680,0.400000,1.200320,1.416000,0,-0.241560
1206319014,South Cotabato,Lake Sebu,Poblacion,CALIBRATED_SOUTH_COTABATO,0.296013,0.400000,1.122107,1.392000,0,-0.375771
1206316031,South Cotabato,T'Boli,Salacafe,CALIBRATED_SOUTH_COTABATO,0.316813,0.396000,1.188720,1.496000,0,-0.208298
1206316018,South Cotabato,T'Boli,Lambuling,CALIBRATED_SOUTH_COTABATO,0.314280,0.396000,1.184227,1.420000,0,0.005600
1206319004,South Cotabato,Lake Sebu,Hanoon,CALIBRATED_SOUTH_COTABATO,0.303387,0.388000,1.144907,1.412000,0,2.522460
1206316002,South Cotabato,T'Boli,Edwards,CALIBRATED_SOUTH_COTABATO,0.288240,0.384000,1.870120,2.240000,0,1.083224
1206302009,South Cotabato,Banga,Kusan,CALIBRATED_SOUTH_COTABATO,0.297960,0.384000,1.130827,1.440000,0,1.171573
1206319019,South Cotabato,Lake Sebu,Tasiman,CALIBRATED_SOUTH_COTABATO,0.302267,0.384000,1.141720,1.424000,0,0.272466
1206319011,South Cotabato,Lake Sebu,Lower Maculan,CALIBRATED_SOUTH_COTABATO,0.295667,0.384000,1.119013,1.368000,0,0.421993
1206316023,South Cotabato,T'Boli,Tudok,CALIBRATED_SOUTH_COTABATO,0.294373,0.384000,1.117893,1.352000,0,-0.214234
1206302006,South Cotabato,Banga,Derilon,CALIBRATED_SOUTH_COTABATO,0.296973,0.380000,1.122760,1.408000,0,0.661604
1206314011,South Cotabato,Tampakan,Pula-bato,CALIBRATED_SOUTH_COTABATO,0.276600,0.380000,1.060907,1.360000,0,0.118871
