SOURCE_NODE_ID,TARGET_NODE_ID,SOURCE_PSGC,TARGET_PSGC,SOURCE_BARANGAY,TARGET_BARANGAY,DISTANCE_KM,EDGE_TYPE
12,18,1206302014,1206302020,Liwanay,Rizal Poblacion,2.945516857753885,QUEEN_CONTIGUITY
12,116,1206302014,1206313003,Liwanay,Centrala,6.399146384691719,QUEEN_CONTIGUITY
12,118,1206302014,1206313005,Liwanay,Dajay,4.747572493175342,QUEEN_CONTIGUITY
12,124,1206302014,1206313019,Liwanay,Libertad,2.4202918607236885,QUEEN_CONTIGUITY
13,14,1206302015,1206302016,Malaya,Punong Grande,5.976219425930296,QUEEN_CONTIGUITY
13,17,1206302015,1206302019,Malaya,Rizal,6.35428114900276,QUEEN_CONTIGUITY
13,20,1206302015,1206302022,Malaya,San Vicente,4.534671872129272,QUEEN_CONTIGUITY
13,33,1206302015,1206306012,Malaya,Morales,7.410114881541112,QUEEN_CONTIGUITY
13,36,1206302015,1206306015,Malaya,Paraiso,5.498461669721151,QUEEN_CONTIGUITY
13,76,1206302015,1206311014,Malaya,Puti,6.363634336795961,QUEEN_CONTIGUITY
13,78,1206302015,1206311017,Malaya,San Miguel,5.177247016811678,QUEEN_CONTIGUITY
13,174,1206302015,1206315004,Malaya,Libas,3.2254441930865214,QUEEN_CONTIGUITY
13,176,1206302015,1206315006,Malaya,Maibo,7.0781449185718674,QUEEN_CONTIGUITY
13,181,1206302015,1206315011,Malaya,San Felipe,6.789420134521286,QUEEN_CONTIGUITY
13,183,1206302015,1206315013,Malaya,Tinongcop,3.2792641914362846,QUEEN_CONTIGUITY
14,16,1206302016,1206302018,Punong Grande,Reyes,2.5981948227537717,QUEEN_CONTIGUITY
14,17,1206302016,1206302019,Punong Grande,Rizal,3.0672899350739122,QUEEN_CONTIGUITY
14,18,1206302016,1206302020,Punong Grande,Rizal Poblacion,2.6142390159094346,QUEEN_CONTIGUITY
14,20,1206302016,1206302022,Punong Grande,San Vicente,5.0754483560068016,QUEEN_CONTIGUITY
15,19,1206302017,1206302021,Rang-ay,San Jose,3.8433183628241934,QUEEN_CONTIGUITY
15,47,1206302017,1206306026,Rang-ay,Sarabia,6.104647780875333,QUEEN_CONTIGUITY
16,18,1206302018,1206302020,Reyes,Rizal Poblacion,2.0777693385004685,QUEEN_CONTIGUITY
16,20,1206302018,1206302022,Reyes,San Vicente,3.215831427433468,QUEEN_CONTIGUITY
16,21,1206302018,1206302024,Reyes,Yangco Poblacion,1.6942222305282468,QUEEN_CONTIGUITY
17,78,1206302019,1206311017,Rizal,San Miguel,4.868185873091593,QUEEN_CONTIGUITY
17,107,1206302019,1206318003,Rizal,Katipunan,3.137203417365806,QUEEN_CONTIGUITY
17,113,1206302019,1206318009,Rizal,Teresita,2.686543193023185,QUEEN_CONTIGUITY
18,21,1206302020,1206302024,Rizal Poblacion,Yangco Poblacion,1.6319846290509077,QUEEN_CONTIGUITY
19,47,1206302021,1206306026,San Jose,Sarabia,5.972188884704115,QUEEN_CONTIGUITY
19,121,1206302021,1206313014,San Jose,Lambontong,6.619330220981722,QUEEN_CONTIGUITY
19,127,1206302021,1206313024,San Jose,Naci,4.1865126635674645,QUEEN_CONTIGUITY
20,32,1206302022,1206306011,San Vicente,Mambucal,4.265148678782944,QUEEN_CONTIGUITY
20,36,1206302022,1206306015,San Vicente,Paraiso,4.64566773739315,QUEEN_CONTIGUITY
22,26,1206306001,1206306005,Assumption,Carpenter Hill,3.4592141783612997,QUEEN_CONTIGUITY
22,32,1206306001,1206306011,Assumption,Mambucal,2.9555858449350496,QUEEN_CONTIGUITY
22,42,1206306001,1206306021,Assumption,San Isidro,2.8186217917929777,QUEEN_CONTIGUITY
22,47,1206306001,1206306026,Assumption,Sarabia,5.6570883251144535,QUEEN_CONTIGUITY
23,30,1206306002,1206306009,Avanceña,Mabini,7.966458847293675,QUEEN_CONTIGUITY
23,34,1206306002,1206306013,Avanceña,Namnama,2.036901588349147,QUEEN_CONTIGUITY
23,41,1206306002,1206306020,Avanceña,Rotonda,2.8847879115194717,QUEEN_CONTIGUITY
23,43,1206306002,1206306022,Avanceña,San Jose,4.19510808311923,QUEEN_CONTIGUITY
24,28,1206306003,1206306007,Cacub,Esperanza,5.936477277463529,QUEEN_CONTIGUITY
24,30,1206306003,1206306009,Cacub,Mabini,2.388828280164104,QUEEN_CONTIGUITY
24,48,1206306003,1206306027,Cacub,Zulueta,5.345216192662794,QUEEN_CONTIGUITY
24,164,1206306003,1206314008,Cacub,Buto,5.07332512647393,QUEEN_CONTIGUITY
25,29,1206306004,1206306008,Caloocan,General Paulino Santos,2.4255630827024963,QUEEN_CONTIGUITY
25,33,1206306004,1206306012,Caloocan,Morales,1.706568902414804,QUEEN_CONTIGUITY
25,34,1206306004,1206306013,Caloocan,Namnama,3.1095100321559968,QUEEN_CONTIGUITY
25,37,1206306004,1206306016,Caloocan,Zone I,2.1028367282068388,QUEEN_CONTIGUITY
25,179,1206306004,1206315009,Caloocan,New Lambunao,2.242133304446541,QUEEN_CONTIGUITY
25,181,1206306004,1206315011,Caloocan,San Felipe,2.7948977908421595,QUEEN_CONTIGUITY
26,27,1206306005,1206306006,Carpenter Hill,Concepcion,2.508702612016007,QUEEN_CONTIGUITY
26,39,1206306005,1206306018,Carpenter Hill,Zone III,4.310044526739263,QUEEN_CONTIGUITY
26,42,1206306005,1206306021,Carpenter Hill,San Isidro,2.3210393099888895,QUEEN_CONTIGUITY
