MUNICIPALITY,BARANGAY,MATCH_STATUS,MATCH_METHOD,MATCH_SCORE,NODE_ID,PSGC,BOUNDARY_MUNICIPALITY,BOUNDARY_BARANGAY
NORALA,LOPEZ JAENA,MATCHED,EXACT_NORMALIZED,1.0,73.0,1206311009,Norala,Lopez Jaena
NORALA,MATAPOL,MATCHED,EXACT_NORMALIZED,1.0,74.0,1206311011,Norala,Matapol
NORALA,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,75.0,1206311013,Norala,Poblacion
NORALA,PUTI,MATCHED,EXACT_NORMALIZED,1.0,76.0,1206311014,Norala,Puti
NORALA,SAN JOSE,MATCHED,EXACT_NORMALIZED,1.0,77.0,1206311016,Norala,San Jose
NORALA,SAN MIGUEL,MATCHED,EXACT_NORMALIZED,1.0,78.0,1206311017,Norala,San Miguel
NORALA,SIMSIMAN,MATCHED,EXACT_NORMALIZED,1.0,79.0,1206311020,Norala,Simsiman
NORALA,TINAGO,MATCHED,EXACT_NORMALIZED,1.0,80.0,1206311021,Norala,Tinago
POLOMOLOK,BENTUNG,MATCHED,EXACT_NORMALIZED,1.0,82.0,1206312001,Polomolok,Bentung
POLOMOLOK,CANNERY SITE,MATCHED,EXACT_NORMALIZED,1.0,103.0,1206312024,Polomolok,Cannery Site
POLOMOLOK,CROSSING PALKAN,MATCHED,EXACT_NORMALIZED,1.0,83.0,1206312002,Polomolok,Crossing Palkan
POLOMOLOK,GLAMANG,MATCHED,EXACT_NORMALIZED,1.0,84.0,1206312003,Polomolok,Glamang
POLOMOLOK,KINILIS,MATCHED,EXACT_NORMALIZED,1.0,85.0,1206312004,Polomolok,Kinilis
POLOMOLOK,KLINAN 6,MATCHED,EXACT_NORMALIZED,1.0,86.0,1206312005,Polomolok,Klinan 6
POLOMOLOK,KORONADAL PROPER,MATCHED,EXACT_NORMALIZED,1.0,87.0,1206312006,Polomolok,Koronadal Proper
POLOMOLOK,LAM-CALIAF,MATCHED,EXACT_NORMALIZED,1.0,88.0,1206312007,Polomolok,Lam-Caliaf
POLOMOLOK,LANDAN,MATCHED,EXACT_NORMALIZED,1.0,89.0,1206312008,Polomolok,Landan
