YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2032,Polomolok,1206312000,688.764000,11.225000,2022.950000,0.342130,0.520000,106,0
2032,Santo Niño,1206318000,151.888000,0.000000,525.075000,0.178100,0.336000,0,0
2032,Surallah,1206313000,485.292000,0.000000,1452.650000,0.178510,0.268000,73,0
2032,T'Boli,1206316000,379.484000,0.000000,1332.775000,0.294413,0.440000,0,0
2032,Tampakan,1206314000,210.120000,0.000000,740.375000,0.186500,0.352000,0,0
2032,Tantangan,1206315000,53.128000,0.000000,327.400000,0.081128,0.176000,0,0
2032,Tupi,1206317000,209.208000,0.000000,747.700000,0.024511,0.184000,0,0
2033,Banga,1206302000,375.088000,0.000000,1282.550000,0.218121,0.380000,0,0
2033,City of Koronadal,1206306000,108.040000,0.000000,648.925000,0.063642,0.176000,0,0
2033,Lake Sebu,1206319000,262.260000,0.000000,947.800000,0.281123,0.460000,0,0
2033,Norala,1206311000,199.416000,0.000000,707.825000,0.126238,0.200000,0,0
2033,Polomolok,1206312000,693.316000,8.675000,2068.375000,0.343304,0.500000,113,0
2033,Santo Niño,1206318000,152.752000,0.000000,533.400000,0.180800,0.352000,0,0
2033,Surallah,1206313000,484.068000,0.000000,1464.650000,0.178569,0.320000,92,0
2033,T'Boli,1206316000,377.060000,0.000000,1331.125000,0.291613,0.424000,0,0
2033,Tampakan,1206314000,210.820000,0.000000,748.700000,0.188024,0.336000,0,0
2033,Tantangan,1206315000,53.348000,0.000000,322.175000,0.081410,0.200000,0,0
2033,Tupi,1206317000,210.408000,0.000000,755.475000,0.024889,0.144000,0,0
2034,Banga,1206302000,371.740000,0.000000,1285.575000,0.215591,0.388000,0,0
2034,City of Koronadal,1206306000,108.288000,0.000000,643.150000,0.064716,0.184000,0,0
2034,Lake Sebu,1206319000,266.692000,0.000000,954.025000,0.285965,0.416000,0,0
2034,Norala,1206311000,200.216000,0.000000,718.950000,0.127214,0.208000,0,0
2034,Polomolok,1206312000,698.628000,11.225000,2102.500000,0.345304,0.512000,105,0
2034,Santo Niño,1206318000,151.612000,0.000000,541.625000,0.180767,0.324000,0,0
2034,Surallah,1206313000,488.760000,0.000000,1499.450000,0.185451,0.284000,81,0
2034,T'Boli,1206316000,378.520000,0.000000,1343.750000,0.291507,0.408000,0,0
