DATE,RED_CLUSTER_ID,CLUSTER_SIZE,NEW_CLUSTER_ONSET,LIKELY_ORIGIN_PSGC,LIKELY_ORIGIN_MUNICIPALITY,LIKELY_ORIGIN_BARANGAY,MEMBER_PSGC_LIST,MEMBER_NAME_LIST,MUNICIPALITY_LIST,PROJECTED_CLUSTER_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,DOMINANT_FACTOR_MODE
2036-04-01,1,10,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.396000,0.323600,0.448000,Seasonal baseline
2036-04-01,2,9,True,1206313019,Surallah,Libertad,1206313002; 1206313008; 1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023; 1206313028,Buenavista (Surallah); Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,22.552000,0.182667,0.268000,Seasonal baseline
2036-05-01,1,9,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,31.980000,0.334222,0.488000,Seasonal baseline
2036-05-01,2,5,False,1206313003,Surallah,Centrala,1206313003; 1206313004; 1206313019; 1206313020; 1206313023,Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,13.944000,0.176800,0.220000,Seasonal baseline
2036-06-01,1,8,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,28.780000,0.339000,0.456000,Seasonal baseline
2036-06-01,2,5,False,1206313023,Surallah,Moloy,1206313003; 1206313004; 1206313019; 1206313020; 1206313023,Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,13.568000,0.156000,0.192000,Seasonal baseline
2036-07-01,1,7,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312019,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok),Polomolok,27.508000,0.350286,0.488000,Seasonal baseline
2036-07-01,2,6,False,1206313019,Surallah,Libertad,1206313008; 1206313003; 1206313004; 1206313019; 1206313020; 1206313023,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,16.836000,0.170000,0.192000,Seasonal baseline
2036-08-01,1,7,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312019,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok),Polomolok,26.668000,0.337714,0.476000,Seasonal baseline
2036-08-01,2,7,False,1206313003,Surallah,Centrala,1206313008; 1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,19.268000,0.190857,0.260000,Seasonal baseline
2036-09-01,1,10,False,1206312024,Polomolok,Cannery Site,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.920000,0.348800,0.460000,Seasonal baseline
2036-09-01,2,9,False,1206313003,Surallah,Centrala,1206313008; 1206313003; 1206313004; 1206313018; 1206313019; 1206313020; 1206313023; 1206313024; 1206313032,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Naci (Surallah); Veterans (Surallah),Surallah,24.856000,0.201333,0.264000,Seasonal baseline
2036-10-01,1,10,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,34.008000,0.336000,0.464000,Seasonal baseline
2036-10-01,2,9,False,1206313019,Surallah,Libertad,1206313008; 1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023; 1206313028; 1206313031,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah); Upper Sepaka (Surallah),Surallah,24.096000,0.198222,0.280000,Seasonal baseline
2036-11-01,1,9,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,31.968000,0.336889,0.460000,Seasonal baseline
2036-11-01,2,10,False,1206313023,Surallah,Moloy,1206313008; 1206313003; 1206313004; 1206313006; 1206313018; 1206313019; 1206313020; 1206313023; 1206313024; 1206313032,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Naci (Surallah); Veterans (Surallah),Surallah,26.960000,0.193600,0.280000,Seasonal baseline
