DATE,NODE_ID,PSGC,PROVINCE,PROVINCE_CODE,MUNICIPALITY,MUNICIPALITY_CODE,BARANGAY,CALIBRATION_STATUS,SEASONAL_CLIMATOLOGY_CASES,PROJECTED_GROWTH_MULTIPLIER,BASELINE_CASES,TREND_UPLIFT_CASES,TEMPORAL_LAG_1_CASES,TEMPORAL_LAG_3_CASES,TEMPORAL_LAG_6_CASES,TEMPORAL_LAG_12_CASES,ROLLING_MEAN_3_MONTHS,ROLLING_MEAN_6_MONTHS,ROLLING_MEAN_12_MONTHS,ROLLING_STD_3_MONTHS,TEMPORAL_MEMORY_CASES,TEMPORAL_ADJUSTED_CASES,TEMPORAL_MEMORY_UPLIFT_CASES,SPATIAL_LAG_CASES,SPATIAL_SPILLOVER_UPLIFT_CASES,HIGH_RISK_NEIGHBOR_SHARE,NEIGHBOR_CLUSTER_UPLIFT_CASES,PRIOR_MEAN_CASES,POSTERIOR_MEAN_CASES,BAYESIAN_REFINEMENT_DELTA_CASES,FACTOR_SEASONAL_BASELINE_SHARE,FACTOR_LONG_TERM_TREND_SHARE,FACTOR_RECENT_CASE_PERSISTENCE_SHARE,FACTOR_NEIGHBOUR_SPILLOVER_SHARE,FACTOR_HIGH_RISK_CLUSTER_SHARE,FACTOR_BAYESIAN_EVIDENCE_SHARE,DOMINANT_OUTBREAK_FACTOR,DOMINANT_OUTBREAK_FACTOR_CODE,POSTERIOR_MEDIAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,OUTBREAK_CASE_THRESHOLD,OUTBREAK_PROBABILITY,ALERT_LEVEL,HIGH_RISK_ONSET,OUTBREAK_ONSET_PING,CASE_COLOR_INTENSITY,CASE_COLOR_LOW_REFERENCE,CASE_COLOR_HIGH_REFERENCE,RED_CASE_ZONE,RED_CASE_NEIGHBOR_COUNT,RED_CLUSTER_ID,RED_CLUSTER_SIZE,RED_CLUSTER_OUTBREAK_ALERT,RED_CLUSTER_OUTBREAK_ONSET,RED_CLUSTER_LIKELY_ORIGIN,INDIVIDUAL_OUTBREAK_ALERT,PROBABILISTIC_OUTBREAK_ALERT,OUTBREAK_ALERT_STATE,OUTBREAK_ALERT_REASON,HIGH_RISK_NEIGHBOR_COUNT,CLUSTER_ALERT,PERSISTENT_ALERT,AUTOMATIC_OUTBREAK_ALERT,HOTSPOT_Z_SCORE,BAYESIAN_OBSERVATION_APPLIED,OBSERVED_CASES_UPDATE,HORIZON_MONTH,HORIZON_YEAR,CALIBRATION_NOTE
2026-01-01,119,1206313006,South Cotabato,1206300000,Surallah,1206313000,Duengas,CALIBRATED_SOUTH_COTABATO,1.941257,1.000000,1.941257,0.000000,2.397408,2.314471,2.190067,1.941257,2.355940,2.293737,2.169332,0.033859,2.339352,2.040781,0.099524,2.423265,0.068847,0.000000,0.000000,2.109628,2.208000,0.098372,0.540703,0.000000,0.217195,0.197549,0.000000,0.044552,Seasonal baseline,0,2.000000,0.000000,6.000000,4.000000,0.200000,LOW,False,True,0.841761,0.151680,2.594560,True,1,3,7,True,True,True,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,2.304739,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,120,1206313008,South Cotabato,1206300000,Surallah,1206313000,Canahay,CALIBRATED_SOUTH_COTABATO,1.982960,1.000000,1.982960,0.000000,2.448993,2.364260,2.237160,1.982960,2.406627,2.343077,2.215977,0.034592,2.389680,2.084640,0.101680,2.095260,0.001912,0.000000,0.000000,2.086552,2.252000,0.165448,0.541528,0.000000,0.217533,0.167472,0.000000,0.073467,Seasonal baseline,0,2.000000,0.000000,6.000000,5.000000,0.096000,LOW,False,True,0.859772,0.151680,2.594560,True,2,3,7,True,True,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,1.880859,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,124,1206313019,South Cotabato,1206300000,Surallah,1206313000,Libertad,CALIBRATED_SOUTH_COTABATO,2.742836,1.000000,2.742836,0.000000,3.387445,3.270244,3.094441,2.742836,3.328844,3.240943,3.065141,0.047847,3.305404,2.883478,0.140642,1.984184,-0.161873,0.000000,0.000000,2.721605,2.656000,-0.065605,0.619798,0.000000,0.248974,0.131229,0.000000,0.000000,Seasonal baseline,0,2.000000,0.000000,7.000000,6.000000,0.100000,LOW,False,True,1.000000,0.151680,2.594560,True,1,3,7,True,True,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,2.249640,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,125,1206313020,South Cotabato,1206300000,Surallah,1206313000,Little Baguio,CALIBRATED_SOUTH_COTABATO,2.361442,1.000000,2.361442,0.000000,2.916428,2.815522,2.664162,2.361442,2.865975,2.790295,2.638935,0.041195,2.845794,2.482530,0.121088,1.525416,-0.172281,0.000000,0.000000,2.310250,2.168000,-0.142250,0.628628,0.000000,0.252522,0.118851,0.000000,0.000000,Seasonal baseline,0,2.000000,0.000000,6.000000,5.000000,0.108000,LOW,False,True,0.825386,0.151680,2.594560,True,2,3,7,True,True,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,1.348373,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,126,1206313023,South Cotabato,1206300000,Surallah,1206313000,Moloy,CALIBRATED_SOUTH_COTABATO,2.278953,1.000000,2.278953,0.000000,2.814519,2.717143,2.571080,2.278953,2.765831,2.692799,2.546736,0.039753,2.746356,2.395804,0.116851,2.317774,-0.014045,0.000000,0.000000,2.381759,2.416000,0.034241,0.580114,0.000000,0.233031,0.172682,0.000000,0.014173,Seasonal baseline,0,2.000000,0.000000,7.000000,5.000000,0.128000,LOW,False,True,0.926906,0.151680,2.594560,True,2,3,7,True,True,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,2.843714,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,195,1206317013,South Cotabato,1206300000,Tupi,1206317000,Poblacion,CALIBRATED_SOUTH_COTABATO,3.653739,1.000000,3.653739,0.000000,3.804485,3.777076,3.735964,3.653739,3.790780,3.770224,3.729112,0.011189,3.785299,3.686629,0.032890,1.410286,-0.409742,0.000000,0.000000,3.276887,3.268000,-0.008887,0.685727,0.000000,0.236806,0.077467,0.000000,0.000000,Seasonal baseline,0,3.000000,0.000000,8.000000,18.000000,0.000000,LOW,False,True,1.000000,0.151680,2.594560,True,1,2,3,True,True,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,1.852105,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-01-01,196,1206317014,South Cotabato,1206300000,Tupi,1206317000,Polonuling,CALIBRATED_SOUTH_COTABATO,1.956091,1.000000,1.956091,0.000000,2.024720,2.012242,1.993525,1.956091,2.018481,2.009122,1.990405,0.005094,2.015985,1.971065,0.014973,1.587606,-0.069023,0.000000,0.000000,1.902042,2.168000,0.265958,0.554888,0.000000,0.190626,0.131812,0.000000,0.122674,Seasonal baseline,0,2.000000,0.000000,6.000000,9.000000,0.004000,LOW,False,True,0.825386,0.151680,2.594560,True,2,2,3,True,True,True,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,1.967302,False,,1,0.000000,CALIBRATED SOUTH COTABATO BARANGAY
2026-02-01,84,1206312003,South Cotabato,1206300000,Polomolok,1206312000,Glamang,CALIBRATED_SOUTH_COTABATO,2.480301,1.002446,2.486368,0.006066,2.356000,2.613249,2.568933,2.480301,2.532423,2.558064,2.537647,0.124896,2.448841,2.476986,-0.009382,2.024800,-0.081393,0.000000,0.000000,2.395592,2.348000,-0.047592,0.636747,0.001557,0.209557,0.152139,0.000000,0.000000,Seasonal baseline,0,2.000000,0.000000,6.775000,4.000000,0.232000,LOW,False,False,0.898456,0.179200,2.593120,True,2,1,9,True,False,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,2.596277,False,,2,0.083333,CALIBRATED SOUTH COTABATO BARANGAY
2026-02-01,88,1206312007,South Cotabato,1206300000,Polomolok,1206312000,Lam-Caliaf,CALIBRATED_SOUTH_COTABATO,1.946839,1.002446,1.951601,0.004762,1.976000,2.050382,2.015868,1.946839,2.029423,2.028398,2.001999,0.038067,1.998444,1.963312,0.011711,2.961000,0.179584,0.000000,0.000000,2.142895,2.152000,0.009105,0.556369,0.001361,0.190372,0.247667,0.000000,0.004231,Seasonal baseline,0,2.000000,0.000000,6.000000,3.000000,0.364000,MODERATE,False,True,0.817260,0.179200,2.593120,True,4,1,9,True,False,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,6.755425,False,,2,0.083333,CALIBRATED SOUTH COTABATO BARANGAY
2026-02-01,92,1206312013,South Cotabato,1206300000,Polomolok,1206312000,Palkan,CALIBRATED_SOUTH_COTABATO,2.495578,1.002446,2.501681,0.006104,2.280000,2.628714,2.584336,2.495578,2.517407,2.558268,2.545414,0.167981,2.409034,2.478520,-0.023162,1.753778,-0.130454,0.000000,0.000000,2.348066,2.232000,-0.116066,0.653636,0.001599,0.210323,0.134443,0.000000,0.000000,Seasonal baseline,0,2.000000,0.000000,6.000000,4.000000,0.224000,LOW,False,False,0.850401,0.179200,2.593120,True,1,1,9,True,False,False,False,False,CLUSTER_OUTBREAK,THREE_CONNECTED_RED_BARANGAYS,0,False,False,True,2.286694,False,,2,0.083333,CALIBRATED SOUTH COTABATO BARANGAY
