DATE,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,NEW_HIGH_RISK_ONSET_COUNT,MEAN_HOTSPOT_Z_SCORE,MAX_HOTSPOT_Z_SCORE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
2026-04-01,Banga,1206302000,28.456000,0.000000,93.100000,0.181455,0.296000,22,0,0,0,0,0,0,0,0,0,0,0,0.259899,2.065446,22,22
2026-04-01,City of Koronadal,1206306000,8.736000,0.000000,53.325000,0.059852,0.112000,27,0,0,0,0,0,0,0,0,0,0,0,-2.814056,-1.228869,27,27
2026-04-01,Lake Sebu,1206319000,20.764000,0.000000,70.775000,0.263789,0.348000,13,6,0,0,0,0,0,0,0,1,0,0,-0.150024,1.968707,19,19
2026-04-01,Norala,1206311000,15.556000,0.000000,55.550000,0.105429,0.152000,14,0,0,0,0,0,0,0,0,0,0,0,-0.347322,0.194014,14,14
2026-04-01,Polomolok,1206312000,51.112000,2.000000,144.875000,0.288000,0.420000,11,12,0,0,6,0,0,6,1,7,3,0,3.238290,6.916151,23,23
2026-04-01,Santo Niño,1206318000,12.652000,0.000000,43.550000,0.173200,0.268000,10,0,0,0,0,0,0,0,0,0,0,0,0.143361,0.371736,10,10
2026-04-01,Surallah,1206313000,36.168000,0.000000,102.325000,0.130824,0.204000,17,0,0,0,0,0,0,0,0,6,0,0,2.295033,3.039263,17,17
2026-04-01,T'Boli,1206316000,28.292000,0.000000,102.550000,0.257760,0.356000,18,7,0,0,0,0,0,0,0,0,0,0,-0.153109,0.978813,25,25
2026-04-01,Tampakan,1206314000,17.360000,0.000000,60.325000,0.182857,0.328000,12,2,0,0,0,0,0,0,0,0,0,0,-0.165650,0.553483,14,14
2026-04-01,Tantangan,1206315000,4.052000,0.000000,27.325000,0.076308,0.136000,13,0,0,0,0,0,0,0,0,0,0,0,-2.443069,-1.623581,13,13
2026-04-01,Tupi,1206317000,18.988000,0.000000,63.000000,0.023467,0.104000,15,0,0,0,0,0,0,0,0,1,0,0,0.573571,2.674692,15,15
2026-05-01,Banga,1206302000,28.020000,0.000000,92.550000,0.176545,0.264000,22,0,0,0,0,0,0,0,0,0,0,0,0.191579,2.177361,22,22
2026-05-01,City of Koronadal,1206306000,8.580000,0.000000,52.550000,0.061185,0.104000,27,0,0,0,0,0,0,0,0,0,0,0,-2.922271,-1.334595,27,27
2026-05-01,Lake Sebu,1206319000,20.764000,0.000000,72.775000,0.264421,0.360000,14,5,0,0,0,0,0,0,0,1,0,0,-0.146959,2.013321,19,19
2026-05-01,Norala,1206311000,15.620000,0.000000,55.550000,0.108286,0.140000,14,0,0,0,0,0,0,0,0,0,0,0,-0.346350,0.281766,14,14
2026-05-01,Polomolok,1206312000,51.312000,1.000000,144.100000,0.294609,0.432000,11,12,0,0,8,0,0,8,1,9,2,0,3.388808,6.903292,23,23
2026-05-01,Santo Niño,1206318000,12.356000,0.000000,42.325000,0.159600,0.264000,10,0,0,0,0,0,0,0,0,0,0,0,0.060169,0.275102,10,10
2026-05-01,Surallah,1206313000,36.172000,0.000000,105.325000,0.127059,0.200000,17,0,0,0,8,0,0,8,2,9,8,0,2.327701,3.146138,17,17
2026-05-01,T'Boli,1206316000,28.804000,0.000000,96.775000,0.262400,0.360000,19,6,0,0,0,0,0,0,0,0,0,0,-0.068588,1.280081,25,25
2026-05-01,Tampakan,1206314000,16.876000,0.000000,57.000000,0.165429,0.260000,14,0,0,0,0,0,0,0,0,0,0,0,-0.203781,0.402178,14,14
2026-05-01,Tantangan,1206315000,4.180000,0.000000,24.550000,0.072615,0.128000,13,0,0,0,0,0,0,0,0,0,0,0,-2.556073,-1.811331,13,13
2026-05-01,Tupi,1206317000,19.188000,0.000000,64.325000,0.025333,0.140000,15,0,0,0,0,0,0,0,0,1,0,0,0.590365,2.880107,15,15
2026-06-01,Banga,1206302000,27.840000,0.000000,90.325000,0.180000,0.344000,20,2,0,0,0,0,0,0,0,0,0,0,0.166511,2.140317,22,22
